step,type,amount,nameDest,isFraud
285,TRANSFER,278974.29,C1185406486,0
326,CASH_OUT,93127.48,C1185406486,0
353,CASH_OUT,371784.04,C1185406486,0
522,CASH_OUT,85348.22,C1185406486,0
540,CASH_IN,1599.75,C1185406486,0
41,CASH_IN,208466.37,C1307220530,0
132,CASH_OUT,321591.69,C1307220530,0
132,CASH_IN,374312.34,C1307220530,0
136,CASH_OUT,408294.83,C1307220530,0
138,CASH_IN,41928.09,C1307220530,0
139,CASH_OUT,47864.54,C1307220530,0
140,CASH_OUT,266928.9,C1307220530,0
154,CASH_OUT,390400.36,C1307220530,0
157,CASH_OUT,179890.77,C1307220530,0
158,CASH_OUT,282333.84,C1307220530,0
158,CASH_OUT,485107.14,C1307220530,0
160,CASH_OUT,76231.48,C1307220530,0
185,CASH_OUT,176046.35,C1307220530,0
209,CASH_OUT,542862.27,C1307220530,0
210,CASH_IN,365064.42,C1307220530,0
214,CASH_OUT,1894720.64,C1307220530,0
283,CASH_IN,57654.72,C1307220530,0
357,CASH_OUT,146513.4,C1307220530,0
398,CASH_OUT,563829.35,C1307220530,0
249,CASH_IN,218209.88,C1339379997,0
259,CASH_OUT,276573.73,C1339379997,0
260,TRANSFER,167364.97,C1339379997,0
299,CASH_IN,86138.85,C1339379997,0
327,CASH_OUT,88108.48,C1339379997,0
328,CASH_IN,148526.8,C1339379997,0
356,CASH_OUT,175099.05,C1339379997,0
372,CASH_OUT,70066.31,C1339379997,0
397,CASH_OUT,238636.18,C1339379997,0
94,TRANSFER,2393539.65,C1430994246,1
132,CASH_OUT,72462.18,C1430994246,0
185,CASH_OUT,190204.09,C1430994246,0
185,CASH_OUT,124466.68,C1430994246,0
203,CASH_OUT,228444.26,C1430994246,0
215,DEBIT,3789.9,C1430994246,0
234,CASH_IN,108758.64,C1430994246,0
257,CASH_OUT,165322.86,C1430994246,0
260,TRANSFER,624101.15,C1430994246,0
308,CASH_OUT,173809.79,C1430994246,0
331,CASH_OUT,230828.35,C1430994246,0
353,CASH_IN,127191.06,C1430994246,0
401,CASH_IN,448787.94,C1430994246,0
402,CASH_IN,240876.88,C1430994246,0
474,CASH_IN,254106.09,C1430994246,0
205,TRANSFER,650014.88,C1558700979,0
331,CASH_OUT,420281.83,C1558700979,0
332,TRANSFER,248067.4,C1558700979,0
349,CASH_IN,103564.33,C1558700979,0
395,CASH_OUT,124075.94,C1558700979,0
610,TRANSFER,303130.15,C1558700979,0
460,TRANSFER,2059980.16,C1564280287,1
326,CASH_OUT,165100.43,C1641312686,0
331,CASH_OUT,16940.94,C1641312686,0
376,CASH_OUT,261491.84,C1641312686,0
448,CASH_IN,233478.3,C1641312686,0
601,CASH_OUT,414973.48,C1641312686,1
184,CASH_IN,105291.83,C171772273,0
184,CASH_OUT,250090.23,C171772273,0
225,CASH_OUT,22927.95,C171772273,0
228,CASH_IN,200528.83,C171772273,0
399,CASH_IN,35295.5,C171772273,0
123,TRANSFER,4289.18,C1861343965,1
181,CASH_IN,395296.55,C1861343965,0
189,CASH_IN,267961.31,C1861343965,0
235,TRANSFER,1333443.24,C1861343965,0
236,CASH_IN,179619.65,C1861343965,0
250,CASH_OUT,234040.97,C1861343965,0
259,CASH_OUT,137866.66,C1861343965,0
286,CASH_OUT,177059.5,C1861343965,0
297,CASH_IN,842583.94,C1861343965,0
308,CASH_IN,167348.64,C1861343965,0
324,TRANSFER,1602781.11,C1861343965,0
349,DEBIT,1440.31,C1861343965,0
393,CASH_OUT,230140.39,C1861343965,0
405,TRANSFER,773977.99,C1861343965,0
679,CASH_OUT,342929.14,C1861343965,0
282,CASH_IN,68327.22,C2096685201,0
302,CASH_OUT,165172.0,C2096685201,0
307,CASH_OUT,13853.95,C2096685201,0
323,CASH_OUT,125051.33,C2096685201,0
360,TRANSFER,198368.49,C2096685201,0
396,CASH_OUT,155244.04,C2096685201,0
403,CASH_IN,10706.22,C2096685201,0
33,CASH_OUT,55049.07,C351489984,0
138,CASH_OUT,151473.71,C351489984,0
155,CASH_OUT,66982.44,C351489984,0
156,CASH_OUT,157375.52,C351489984,0
187,CASH_IN,16250.85,C351489984,0
188,CASH_IN,235168.52,C351489984,0
235,CASH_OUT,120205.29,C351489984,0
262,CASH_IN,136407.28,C351489984,0
327,CASH_IN,76507.92,C351489984,0
334,CASH_OUT,24197.82,C351489984,0
422,CASH_OUT,30444.99,C351489984,0
525,CASH_OUT,61060.43,C351489984,0
157,TRANSFER,1051435.51,C362029597,0
162,CASH_IN,363797.06,C362029597,0
180,TRANSFER,930812.94,C362029597,0
206,CASH_OUT,84147.94,C362029597,0
209,CASH_IN,129676.39,C362029597,0
228,CASH_OUT,805955.62,C362029597,0
251,CASH_IN,475690.05,C362029597,0
251,CASH_OUT,164223.97,C362029597,0
260,CASH_OUT,68238.76,C362029597,0
299,CASH_OUT,258165.39,C362029597,0
304,CASH_OUT,276553.46,C362029597,0
379,CASH_OUT,324883.25,C362029597,0
379,CASH_OUT,269283.48,C362029597,0
470,CASH_OUT,2198220.97,C362029597,1
507,TRANSFER,10000000.0,C407821637,1
612,CASH_OUT,162033.1,C407821637,0
185,TRANSFER,680039.21,C623644434,0
210,CASH_IN,130236.9,C623644434,0
225,CASH_OUT,14101.39,C623644434,0
322,CASH_IN,212087.63,C623644434,0
403,CASH_OUT,243868.03,C623644434,0
312,CASH_OUT,117345.35,C633592175,1
347,CASH_IN,106039.17,C633592175,0
157,CASH_IN,481435.33,C681898014,0
182,CASH_OUT,706887.53,C681898014,0
184,CASH_OUT,235988.7,C681898014,0
189,CASH_OUT,104660.08,C681898014,0
201,CASH_OUT,621152.96,C681898014,0
212,CASH_OUT,101155.73,C681898014,0
228,CASH_IN,248.67,C681898014,0
256,TRANSFER,210685.21,C681898014,0
260,CASH_IN,62073.0,C681898014,0
280,TRANSFER,122561.27,C681898014,0
299,TRANSFER,931981.42,C681898014,0
301,CASH_IN,151864.24,C681898014,0
322,CASH_IN,214756.01,C681898014,0
349,CASH_OUT,356407.47,C681898014,0
16,CASH_IN,228906.98,C700850453,0
17,TRANSFER,351804.28,C700850453,0
17,CASH_IN,6323.99,C700850453,0
18,CASH_OUT,93353.12,C700850453,0
18,TRANSFER,48743.71,C700850453,0
19,CASH_OUT,14010.37,C700850453,0
33,CASH_OUT,31683.22,C700850453,0
33,CASH_IN,79582.72,C700850453,0
35,TRANSFER,294602.77,C700850453,0
36,CASH_OUT,336482.3,C700850453,0
36,CASH_OUT,227711.45,C700850453,0
42,CASH_OUT,74269.39,C700850453,0
43,CASH_OUT,89314.21,C700850453,0
44,CASH_OUT,43413.83,C700850453,0
120,CASH_IN,140999.02,C700850453,0
135,CASH_IN,347091.92,C700850453,0
154,CASH_OUT,324259.74,C700850453,0
160,CASH_OUT,158724.38,C700850453,0
164,CASH_OUT,162769.69,C700850453,0
166,CASH_OUT,112925.13,C700850453,0
177,TRANSFER,1226594.02,C700850453,0
179,TRANSFER,1250875.57,C700850453,0
184,CASH_IN,112594.25,C700850453,0
184,CASH_OUT,142232.51,C700850453,0
186,CASH_IN,38154.62,C700850453,0
187,CASH_OUT,21262.81,C700850453,0
203,CASH_OUT,75668.82,C700850453,0
253,CASH_OUT,30148.57,C700850453,0
284,TRANSFER,2147216.06,C700850453,0
286,CASH_OUT,36960.45,C700850453,0
308,CASH_IN,198180.23,C700850453,0
331,CASH_OUT,53109.75,C700850453,0
347,CASH_OUT,421060.33,C700850453,0
380,CASH_OUT,74402.89,C700850453,0
201,CASH_OUT,52539.97,C712430700,0
233,CASH_IN,322730.73,C712430700,0
356,CASH_IN,135833.93,C712430700,0
495,CASH_OUT,68340.49,C712430700,0
42,CASH_OUT,78394.54,C741983979,0
44,CASH_OUT,278103.88,C741983979,0
44,CASH_OUT,231541.79,C741983979,0
44,CASH_OUT,212368.63,C741983979,0
46,CASH_IN,317481.86,C741983979,0
94,CASH_OUT,89504.06,C741983979,0
131,CASH_OUT,96294.59,C741983979,0
135,CASH_OUT,115549.08,C741983979,0
155,CASH_OUT,93368.84,C741983979,0
185,CASH_IN,64034.86,C741983979,0
202,TRANSFER,182483.07,C741983979,0
208,CASH_OUT,93855.81,C741983979,0
212,CASH_OUT,393427.02,C741983979,0
213,TRANSFER,228967.28,C741983979,0
225,CASH_OUT,390332.18,C741983979,0
235,DEBIT,40.96,C741983979,0
283,CASH_OUT,159392.55,C741983979,0
332,CASH_IN,86461.21,C741983979,0
306,TRANSFER,82697.07,C769767780,0
352,CASH_OUT,398036.38,C769767780,0
372,CASH_IN,125760.56,C769767780,0
402,TRANSFER,110892.26,C769767780,0
538,CASH_IN,145248.88,C769767780,0
14,CASH_OUT,152935.72,C977281429,0
14,CASH_OUT,87500.46,C977281429,0
14,DEBIT,9721.93,C977281429,0
15,CASH_OUT,251317.97,C977281429,0
16,CASH_OUT,142057.26,C977281429,0
18,CASH_OUT,88287.75,C977281429,0
21,CASH_OUT,133577.5,C977281429,0
22,CASH_IN,133370.16,C977281429,0
34,CASH_IN,139245.21,C977281429,0
34,CASH_IN,40732.45,C977281429,0
35,CASH_IN,110746.49,C977281429,0
35,CASH_OUT,292664.99,C977281429,0
37,CASH_OUT,67899.43,C977281429,0
40,CASH_OUT,282015.91,C977281429,0
119,CASH_OUT,18063.41,C977281429,0
133,CASH_OUT,117940.1,C977281429,0
139,CASH_OUT,180678.9,C977281429,0
156,CASH_OUT,244690.65,C977281429,0
161,CASH_IN,106916.99,C977281429,0
161,CASH_OUT,158503.41,C977281429,0
166,CASH_IN,68097.95,C977281429,0
178,CASH_IN,594269.78,C977281429,0
178,CASH_OUT,362106.11,C977281429,0
182,CASH_IN,171592.76,C977281429,0
184,TRANSFER,695618.38,C977281429,0
224,CASH_OUT,8752000.36,C977281429,1
227,TRANSFER,169105.55,C977281429,0
232,CASH_OUT,29859.23,C977281429,0
234,DEBIT,4655.62,C977281429,0
260,CASH_OUT,20164.02,C977281429,0
280,CASH_OUT,428145.89,C977281429,0
281,CASH_OUT,210254.69,C977281429,0
325,TRANSFER,7466781.91,C977281429,0
404,CASH_OUT,144783.5,C977281429,0
405,CASH_IN,206114.14,C977281429,0
36,TRANSFER,500403.71,C978277137,0
37,TRANSFER,143733.98,C978277137,0
38,CASH_OUT,258762.37,C978277137,0
41,CASH_OUT,88663.13,C978277137,0
119,CASH_IN,146078.27,C978277137,0
136,TRANSFER,217863.9,C978277137,0
158,CASH_OUT,332599.05,C978277137,0
165,CASH_IN,236688.57,C978277137,0
179,CASH_OUT,71838.76,C978277137,0
189,CASH_OUT,140638.68,C978277137,0
204,CASH_IN,399819.43,C978277137,0
225,CASH_IN,294674.26,C978277137,0
235,CASH_OUT,46654.65,C978277137,0
251,CASH_OUT,216931.97,C978277137,0
307,CASH_OUT,46227.55,C978277137,0
308,CASH_IN,576218.58,C978277137,0
322,CASH_OUT,160020.98,C978277137,0
347,CASH_OUT,88636.81,C978277137,0
352,CASH_IN,105409.28,C978277137,0
406,CASH_IN,392736.78,C978277137,0
730,CASH_OUT,3191058.32,C978277137,1
